productId,baseName,variantName,description,category,basePrice
OIQ-01,BEAKER 5ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",19.8
OIQ-02,BEAKER 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",19.8
OIQ-03,BEAKER 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",22
OIQ-04,BEAKER 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",26.4
OIQ-05,BEAKER 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",37.4
OIQ-06,BEAKER 150ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",48.4
OIQ-07,BEAKER 250ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",66
OIQ-08,BEAKER 400ml,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",92.4
OIQ-09,BEAKER 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",110
OIQ-10,BEAKER 600ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",187
OIQ-11,BEAKER 1000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",253
OIQ-12,BEAKER 2000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",594
OIQ-13,BEAKER 3000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1034
OIQ-14,BEAKER 5000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1815
OIQ-15,BOD BOTTLES 125ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",176
OIQ-16,BOD BOTTLES 300ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",253
OIQ-17,REAGENT BOTTLES WITH HOLLOW STOPPERS 30ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",88
OIQ-18,REAGENT BOTTLES WITH HOLLOW STOPPERS 60ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",110
OIQ-19,REAGENT BOTTLES WITH HOLLOW STOPPERS 125ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",121
OIQ-20,REAGENT BOTTLES WITH HOLLOW STOPPERS 250ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",154
OIQ-21,REAGENT BOTTLES WITH HOLLOW STOPPERS 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",242
OIQ-22,REAGENT BOTTLES WITH HOLLOW STOPPERS 1000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",385
OIQ-23,REAGENT BOTTLES WITH HOLLOW STOPPERS 2000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",770
OIQ-24,REAGENT BOTTLES WITH  SOLID STOPPERS 30ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",99
OIQ-25,REAGENT BOTTLES WITH  SOLID STOPPERS 60ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",121
OIQ-26,REAGENT BOTTLES WITH  SOLID STOPPERS 125ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",143
OIQ-27,REAGENT BOTTLES WITH  SOLID STOPPERS 250ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",176
OIQ-28,REAGENT BOTTLES WITH  SOLID STOPPERS 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",275
OIQ-29,REAGENT BOTTLES WITH  SOLID STOPPERS 1000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",440
OIQ-30,REAGENT BOTTLES WITH  SOLID STOPPERS 2000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",836
OIQ-31,REAGENT BOTTLES WITH SCREW CAP 30ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",99
OIQ-32,REAGENT BOTTLES WITH SCREW CAP 60ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",110
OIQ-33,REAGENT BOTTLES WITH SCREW CAP 125ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",165
OIQ-34,REAGENT BOTTLES WITH SCREW CAP 250ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",220
OIQ-35,REAGENT BOTTLES WITH SCREW CAP 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",297
OIQ-36,REAGENT BOTTLES WITH SCREW CAP 1000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",462
OIQ-37,REAGENT BOTTLES WITH SCREW CAP 2000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",770
OIQ-38,REAGENT BOTTLES WITH SCREW CAP 5000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",2090
OIQ-39,GAS WASHING BOTTLES WITH HEAD 125ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",352
OIQ-40,GAS WASHING BOTTLES WITH HEAD 250ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",462
OIQ-41,GAS WASHING BOTTLES WITH HEAD 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",594
OIQ-42,RELATIVE DENSITY BOTTLE WITH GLASS STOPPER 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",61.6
OIQ-43,RELATIVE DENSITY BOTTLE WITH GLASS STOPPER 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",70.4
OIQ-44,RELATIVE DENSITY BOTTLE WITH GLASS STOPPER 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",83.6
OIQ-45,RELATIVE DENSITY BOTTLE WITH GLASS STOPPER 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",154
OIQ-46,RELATIVE DENSITY BOTTLE  WITH TEFLON STOPPERS 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",83.6
OIQ-47,RELATIVE DENSITY BOTTLE  WITH TEFLON STOPPERS 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",92.4
OIQ-48,RELATIVE DENSITY BOTTLE  WITH TEFLON STOPPERS 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",103.4
OIQ-49,RELATIVE DENSITY BOTTLE  WITH TEFLON STOPPERS 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",176
OIQ-50,WEIGHING BOTTLE TALL FORM WITH STOPPERS 5ML(20X40MM),,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",55
OIQ-51,WEIGHING BOTTLE TALL FORM WITH STOPPERS 15ML(25X60MM),,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",66
OIQ-52,WEIGHING BOTTLE TALL FORM WITH STOPPERS 25ML(30X65MM),,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",77
OIQ-53,WEIGHING BOTTLE TALL FORM WITH STOPPERS 60ML(40X90MM),,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",187
OIQ-54,WEIGHING BOTTLE SQUAT FORM WITH STOPPERS 20ML(50X35MM),,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",187
OIQ-55,WEIGHING BOTTLE SQUAT FORM WITH STOPPERS 40ML(60X40MM),,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",198
OIQ-56,WEIGHING BOTTLE SQUAT FORM WITH STOPPERS 50ML(50X50MM),,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",209
OIQ-57,CHROMATOGRPHY COLUMN PLAIN WITH ROTA FLOW STOPCOCK EFECTIVE LENGTH 50CMX20MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",154
OIQ-58,CHROMATOGRPHY COLUMN PLAIN WITH ROTA FLOW STOPCOCK EFECTIVE LENGTH 60CMX25MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",176
